WR_lc#,spec_class,binary_bool,zero_amp,char_freq,log_amp_grad,w_noise,peak_loc,peak_HWHM
WR50_lc0,WC7+OB,1,148.5994713,1.862615098,3.820370825,32.41432202,0.649985846,0.00032948
WR11_lc0,WC8+O7.5,1,473.9765116,2.228088301,2.376024644,2.857394363,0.26607426,0.082189437
WR11_lc1,WC8+O7.5,1,5727.565206,0.358729368,1.66047042,26.80206552,0.049978827,7.78E-05
WR11_lc2,WC8+O7.6,1,902.7040073,2.511832275,2.501324948,12.59455974,0.550098396,0.000203401
WR11_lc3,WC8+O7.7,1,1022.075194,1.184579451,1.463684455,6.207487741,2.510245494,0.000562169
WR70_lc0,WC9+B0,1,7659.598746,0.228363636,1.39102336,0.430406578,0.429995988,4.55E-05
WR70_lc1,WC9+B0,1,7108.132462,0.305850897,1.492139825,1.049434356,0.130005021,3.96E-05
WR69_lc0,WC9+OB,1,4441.259419,0.674471327,1.410581541,6.38746388,0.169981037,1.57E-05
WR69_lc1,WC9+OB,1,3697.059839,0.918908493,1.705764595,7.210888393,0.290052081,0.000115537
WR31_lc0,WN4+O8,1,1559.925167,1.259127251,1.396916566,12.83099209,2.730304262,0.000157345
WR21_lc0,WN5+O4,1,4354.542898,0.343576079,1.343291448,10.85941798,1.610006017,0.000261053
WR21_lc1,WN5+O4,1,3644.657626,0.458951968,1.251840397,6.37692217,0.109972881,3.51E-05
WR141_lc0,WN5+O5,1,1823.218965,1.62679076,1.890339817,7.883518991,7.330741982,0.000345277
WR139_lc0,WN5+O6,1,12443.23249,1.633689604,3.729779066,149.5705926,0.470046286,9.66E-06
WR139_lc1,WN5+O6,1,11224.46332,1.619252059,3.234409519,160.1968912,0.470045478,7.15E-06
WR139_lc2,WN5+O6,1,9268.091576,1.424601674,2.575636733,63.31508815,0.470047569,6.42E-06
WR97_lc0,WN5+O7,1,550.5925524,1.562709559,1.144472972,6.904691158,0.389933877,0.000404108
WR133_lc0,WN5+O9,1,1311.362356,1.404499236,2.235447897,15.44655709,0.190049936,0.000164993
WR25_lc0,WN6+O,1,687.8735679,2.258152416,3.619720408,8.777418061,1.069667901,0.000302409
WR25_lc1,WN6+O,1,709.1406679,1.935901215,3.072861516,8.816448614,0.970010861,3.14E-05
WR25_lc2,WN6+O,1,849.2798467,1.631629562,2.328269637,7.726974822,0.469920712,0.000181587
WR47_lc0,WN6+O5,1,12604.00005,0.472430429,1.742912935,19.55981215,0.170016543,1.91E-05
WR47_lc1,WN6+O5,1,9828.94184,0.4522225,1.753895958,36.5180089,0.170021353,1.50E-05
WR153_lc0,WN6+O6,1,8985.024099,0.649427365,2.25631695,50.09129513,0.310039257,0.00014789
WR153_lc1,WN6+O6,1,7174.643101,0.750125899,11.96544935,76.50172165,1.150113252,5.76E-05
WR155_lc0,WN6+O9,1,11991.80672,2.23152921,6.379313864,266.3362065,1.210119136,1.82E-06
WR43A_lc0,WN6+WN6,1,29254.24083,1.117481879,3.868762919,376.36215,0.530052473,1.55E-06
WR22_lc0,WN7+O9,1,2269.09135,0.828305502,1.966053795,20.16480916,0.670068617,0.00019333
WR22_lc1,WN7+O9,1,3192.910471,0.813810435,2.880737731,13.77328473,0.309988021,1.94E-05
WR22_lc2,WN7+O9,1,2677.546,0.555095616,1.503660796,4.056424927,0.150086008,3.58E-05
WR98_lc0,WN8+WC7,1,10821.7296,0.15703482,0.927819111,0.100002993,94.21082301,0.013708665
WR79B_lc0,WN9+O6,1,1776.22362,1.555721247,3.474428704,22.35266993,0.390081145,0.000141657
WR79B_lc1,WN9+O6,1,2133.558474,1.19230188,2.460354649,10.18308586,11.09113925,0.001367557
WR79A_lc0,WN9+O8,1,2339.0426,1.141978963,2.293868942,21.86071763,0.330070943,5.36E-05
WR79A_lc1,WN9+O8,1,2833.051347,1.018164124,5.032149187,16.65843488,0.350024194,7.97E-05
WR79A_lc2,WN9+O8,1,555.5865594,0.921662818,3.418004312,46.57044909,0.209997753,0.00033888
