WR# (1),Spectral Type,Binary Status (1),u,b,v,r,U,B,V,G,J,H,K,M_stel,log_M_loss,Temp,log_Rt,wind_vel,M_v,log_L,R_stel,binary_bool,zero_amp,char_freq,log_amp_grad,w_noise,peak_loc,peak_HWHM,H_line,avail_TESS_LC,Ref
46,WN3b pec,"d.e.l., SB1?",10.71,10.84,10.87,10.9,9.95,10.77,10.58,10.7,10.199,10.079,9.834,14,-5.4,112.2,0.8,2300,-2.56,5.42,1.36,0,46148.91278,0.034224719,0.800887216,1.639416769,3.290325953,1.58E-05,,1,
47,WN6o+O5V; WN6o+O5.5,SB2 (P=6.24d),12.17,11.84,11.08,10.58,11.39,11.59,10.79,10.29,8.316,7.916,7.549,0,0,0,0,0,0,0,0,1,12604.00005,0.472430429,1.742912935,19.55981215,0.170016543,1.91E-05,,0,
48,WC6(+O9.5/B0Iab); WC6+O6-7V,"SB1, VB (P=19.14d)",,5.76,5.88,,4.65,5.619,5.662,5.58,5.571,5.566,5.434,0,0,0,0,0,0,0,0,1,2905.549288,0.944550674,2.72149023,18.91497307,0.230055841,2.09E-05,,0,
50,WC7+OB,SB2,13.44,13.03,12.49,11.94,12.66,12.72,11.86,11.52,9.753,9.384,8.811,0,0,0,0,0,0,0,0,1,148.5994713,1.862615098,3.820370825,32.41432202,0.649985846,0.00032948,,0,
52,WC4,,9.91,10.15,9.86,10.01,9.09,9.71,9.25,9.05,8.411,8.206,7.555,8.5,-4.75,112,0.2,3225,-3.21,5.07,0.92,0,111.0651621,4.20839342,1.612927048,8.557856973,2.850465242,0.001947005,,1,
53,WC8; WC9; WC8d,,11.66,11.3,10.88,10.97,10.81,11.11,10.77,10.26,8.745,7.915,6.835,15.5,-4.66,50,0.9,1800,-5.41,5.52,7.77,0,288.7830144,2.764058198,1.805823405,13.65383479,1.230148984,0.000603557,,1,
55,WN7o,,,11.27,10.87,,8.69,10.84,10.39,10.23,8.774,8.489,8.005,14,-4.7,56.2,0.8,1200,-4.67,5.4,5.23,0,5148.814748,1.283647087,1.626581325,20.52135075,0.130000879,4.76E-05,,0,
57,WC8,,10.17,10.12,10.02,10.29,9.11,9.8,9.64,9.52,9.088,8.752,8.01,21.2,-4.5,63,0.7,1787,-5.61,5.75,6.36,0,243.568365,2.496710023,1.513439002,11.91134855,0.770492084,0.000618602,,1,
59,WC9d,,,15.14,13.9,13.4,12.09,11.99,11.69,12.04,8.795,7.709,6.609,21.4,-4.48,40,1,1300,-7.31,5.76,15.89,0,441143.9337,0.059558615,1.111891778,10.29154305,0.488732147,0.003673708,,0,
66,WN8(h),"no d.e.l., SB1?, VB",12.81,12.39,11.66,11.13,12.23,12.26,11.38,10.91,8.928,8.481,8.148,41,-3.9,44.7,0.9,1500,-7.22,6.15,19.9,0,1642.018081,1.93642173,1.669623464,15.70519037,6.930725011,3.80E-05,,1,
67,WN6o,d.e.l.,13.32,12.99,12.12,11.61,12.61,12.62,11.88,11.05,9.278,8.858,8.452,9,-4.8,56.2,0.8,1500,-4.03,5.11,3.73,0,5304.40047,1.270841681,1.867690001,38.31128846,0.370056486,3.30E-05,,1,
69,WC9d+OB,SB2,,9.57,9.43,,9.1,9.55,9.24,9.01,7.955,7.278,6.403,12.1,-4.87,40,1,1089,-5.51,5.33,9.77,1,3697.059839,0.918908493,1.705764595,7.210888393,0.290052081,0.000115537,,0,
70,WC9vd+B0I,SB2 (P=2.8yr?),11.79,11.06,10.1,9.48,11.11,11.02,9.78,9.2,7.067,6.557,5.744,0,0,0,0,0,0,0,0,1,7659.598746,0.228363636,1.39102336,0.430406578,0.429995988,4.55E-05,,0,
71,WN6o,"d.e.l., SB2?",10.01,10.18,10.23,10.22,9.34,10.05,10.11,9.89,9.48,9.306,9.088,9,-5.1,56.2,0.9,1200,-3.59,5.06,3.56,0,2743.609988,1.825048099,1.420747123,12.3238753,0.390077523,2.67E-05,,1,
75,WN6b,,12.11,11.94,11.23,10.77,,11.46,10.85,10.43,8.601,8.244,7.837,18,-4.2,63.1,0.6,2300,-5.3,5.59,5.2,0,869.8588375,0.692088305,1.862270961,19.32411071,0.190106745,4.10E-05,,1,
78,WN7h,eclipse?,,6.82,6.61,,6.12,6.76,6.48,6.28,5.441,5.269,4.978,22,-4.5,50.1,1,1385,-5.83,5.8,10.14,0,1836.176503,1.341388164,3.08829104,12.09082905,3.89005707,0.001237549,,1,
