ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
106,48-4,SM09,,,SMG09 845_35,MDM11 6,13 12 27.65,-62 44 22.0,305.3366,0.0341,WC7; WC6,SMG09; RC15,,,,,,,,,,18.08,13.16,11.82,10.71,Danks 1:,,G305 complex,2.48,RC20 (a flag)
107,48a,VII,,,D83 1,,13 12 39.59,-62 42 55.9,305.3613,0.0561,WC8ed+?; WC8vd+WN8,HH88; Wil19,"CWB, VB? (P=32.5y?)","Wi97,Wi99,Wi02; Wil19",,18.5,16.8,,,,,13.83,8.74,6.8,5.09,Danks 1,,G305 complex,2.27,RC20
108,48-5,SM09,,,SMG09 847_8,,13 12 45.33,-63 05 52.0,305.3406,-0.3258,WN6; WN6b,SMG09; RC15,,,,,,,,,,19.43,13.06,11.34,10.26,,,,2.06,"RC20 (e,a flag)"
109,48c,VII,,,SMSNPL 9,,13 12 52.36,-63 23 45.9,305.329,-0.6241,WN3h/C4,SMS99,,,,14.37,13.98,,,,13.44,13.71,11.863,11.521,11.16,,,,2.67,RC20
110,48-2,MV09,,,DCT12 D2-3,MV09 J13125770-6240599,13 12 57.69,-62 40 59.9,305.3984,0.0853,WC8; WC7-8,MV09; DCT11 ,,,,,,,,18.8,,15.05,10.825,9.83,8.981,Danks 2,,G305 complex,3.25,RC20
111,49,VII,,,LSS 2979,Th17-22,13 13 51.30,-65 18 08.9,305.2727,-2.5327,WN5(h),SSM96,,,14.48,14.18,13.84,13.53,,,,13.24,11.891,11.568,11.209,,,,8.35,RC20
112,50,VII,,,V864 Cen,,13 18 01.03,-62 26 04.8,306.0015,0.2786,WC7+OB,SS90,SB2,"CM89,GH90,SS90,GV91,VII",13.44,13.03,12.49,11.94,12.66,12.72,11.86,11.52,9.753,9.384,8.811,,(Anon. Cen OB),,3.48,RC20
113,51,VII,,,MR45,Th17-85,13 18 23.35,-62 28 21.2,306.0403,0.2364,WN4o,SSM96,d.e.l.,"CM89,VII",16.22,15.68,14.64,13.91,,,,13.61,10.896,10.328,9.888,,(Anon. Cen OB),,3.67,RC20
114,52,VII,HD 115473,HIP 64929,,,13 18 27.90,-58 08 13.7,306.5042,4.547,WC4,SS90,,NG99a,9.91,10.15,9.86,10.01,9.09,9.71,9.25,9.05,8.411,8.206,7.555,,,,1.75,RC20
115,52-1,SM09,,,SMG09 853_9,,13 22 16.08 ,-62 30 57.40 ,306.48,0.14,WN6,SMG09,,,,,,,,18.2,,16.6,14.77,12.69,11.55,,,,,
116,52-2,SM09,,,SMG09 858_26,,13 28 15.87,-62 06 23.6,307.2247,0.4579,WN6,SMG09,,,,,,,,,,17.51,12.53,11.4,10.68,,,,2.63,RC20
117,53,VII,HD 117297,HIP 65925,,,13 30 53.24,-62 04 51.9,307.532,0.4378,WC8; WC9; WC8d,SS90; CDB98; WH00,,,11.66,11.3,10.88,10.97,10.81,11.11,10.77,10.26,8.745,7.915,6.835,,,,4.14,RC20
118,54,VII,,,MR48,Th17-89,13 32 43.74,-65 01 27.9,307.2753,-2.5015,WN5o,SSM96,,,,13.45,12.99,,,,,12.35,10.851,10.48,10.094,,,,6.52,RC20
119,55,VII,HD 117688,HIP 66142,,,13 33 30.10,-62 19 01.2,307.7959,0.1568,WN7o,SSM96,,MMH98,,11.27,10.87,,8.69,10.84,10.39,10.23,8.774,8.489,8.005,,,,3,RC20
120,56,VII,,,LS 8,,13 33 45.37,-64 07 31.3,307.5295,-1.632,WC7,HH88,,,14.53,14.31,13.87,13.74,,,,13.18,,,,,,,8.67,RC20
121,56a,VII,,,SMSNPL 10,,13 41 14.01,-60 53 54.0,308.9519,1.3901,WN6o,SMS99,,,,17.23,15.91,,,,,14.13,,,,,,,4.36,RC20
122,57,VII,HD 119078,HIP 66948,,,13 43 16.35,-67 24 05.1,307.8945,-5.0304,WC8,SS90,,,10.17,10.12,10.02,10.29,9.11,9.8,9.64,9.52,9.088,8.752,8.01,,,,5.5,RC20
123,58,VII,,,LSS 3162,,13 49 04.47,-65 41 56.2,308.8207,-3.4883,WN4b/CE,SSM96,,,13.68,13.62,13.05,12.79,12.74,13.11,12.77,12.53,11.304,10.984,10.541,,,,5.88,RC20
124,59,VII,,,LSS 3164,,13 49 32.55,-61 31 42.3,309.7997,0.5661,WC9d,HH88,,,,15.14,13.9,13.4,12.09,11.99,11.69,12.04,8.795,7.709,6.609,,,,3.57,RC20
125,59-1,SM09,,,SMG09 883_18,,13 52 02.36 ,-62 26 46.00 ,309.88,-0.39,WCE,SMG09,,,,,,,,,,,14.59,12.41,10.99,,,,,
126,59-2,SM09,,,SMG09 885_11,,13 54 13.43,-61 50 01.9,310.2689,0.1402,WC5-6,SMG09,,,,,,,,,,19.32,13.6,12.07,10.86,,,,1.65,"RC20 (e,a flag)"
127,60,VII,HD 121194,,,,13 55 48.44,-61 09 48.5,310.6155,0.7444,WC8,VI,,,14.92,14.29,13.25,12.51,14.34,13.72,12.17,11.43,,,,,,,3.51,RC20
128,60-1,SM09,,,SMG09 897_5,,14 10 10.01 ,-61 15 25.50 ,312.25,0.18,WC8,SMG09,,,,,,,,,,,15.3,12.43,10.6,,,,,
129,61-1,MV09,,,,MV09 J14212314-6018041,14 21 23.13,-60 18 04.1,313.8558,0.6489,WN6,MV10,,,,,,,,,,16.93,11.68,10.425,9.619,,,,3.88,"RC20 (n,e flags)"
130,60-2,SM09,,,SMG09 903_15c,,14 12 36.53,-61 45 32.8,312.3775,-0.385,WC8; WC8d,SMG09; W19,,,,,,,,,,20.26,13.58,11.33,9.71,,,,2.09,"RC20 (n,a flags)"
131,61,VII,,HIP 69445,CF Cir,,14 13 03.51,-65 26 52.8,311.2814,-3.908,WN5o,SSM96,,,12.8,12.77,12.41,12.24,11.93,12.51,12.32,12.03,10.958,10.666,10.351,,,,5.49,RC20
132,61-2,SM09,,,SMG09 907_18,,14 16 27.37 ,-61 17 56.20 ,312.96,-0.09,WN5b,SMG09,,,,,,,,,,,13.6,11.39,10.01,,,,,
133,62,VII,,,NS 2,,14 31 06.13,-61 20 59.7,314.5864,-0.7539,WN6b,SSM96,,,16.63,15.82,14.22,,,,,12.4,9.108,8.347,7.752,,,,4.28,RC20
134,62a,VII,,,SMSNPL 11,,14 32 37.69,-61 29 54.2,314.6993,-0.9603,WN4-5o; WN5+O5.5-6; WN6o,SMS99; CGB13; RC17,SB2 (P=9.1d),CGB13,,15.04,13.8,,,,,12.22,,,,,,,3.5,RC20
135,62b,VII,,,SMSNPL 12,,14 46 40.84,-61 06 57.1,316.3965,-1.2935,WN5o,SMS99,,,,19.03,17.26,,,,,15.24,,,,,,,5.5,RC20
136,63,VII,,,LSS 3289,,14 50 58.31,-59 51 26.70,317.42,-0.39,WN7o+OB,SSM96,"a, d.e.l.","CM89,SS96,VII",14.96,14.1,12.83,11.9,14.37,13.87,12.34,10.8,8.595,8.07,7.637,,,,,
137,64,VII,,,BS 3,,14 56 55.18,-55 50 58.6,319.9447,2.8212,WC7,VI,,,,15.73,15.57,,,,,14.31,12.498,12.031,11.329,,,,7.98,RC20
138,64-1,SM09,,,SMG09 956_25,,15 01 30.11 ,-59 16 12.00 ,318.88,-0.49,WN4b,SMG09,,,,,,,,,,,13.84,11.83,10.64,,,,,
139,65,VII,,,WRAY 15-1297,,15 13 41.70,-59 11 45.0,320.2643,-1.1978,WC9d+OB?; WC9vd+OB,VI; Wil19,d.e.l. Var dust (P~4.8yr),"CM89,SS90,VII; Wil19",16.85,15.91,14.5,13.29,16.25,15.59,13.66,12.18,,,,,(Cir OB1),,3.13,RC20
140,66,VII,HD 134877,HIP 74634,,,15 14 57.71,-59 50 30.2,320.0657,-1.8331,WN8(h),SSM96,"no d.e.l., SB1?, VB","CM89,AB95,RG96,Hip97,MMH98,VII",12.81,12.39,11.66,11.13,12.23,12.26,11.38,10.91,8.928,8.481,8.148,,(Cir OB1),,5.18,"RC20 (n,a flags)"
141,67,VII,,,LSS 3329,,15 15 32.62,-59 02 30.7,320.547,-1.1899,WN6o,SSM96,d.e.l.,"CM89,VII",13.32,12.99,12.12,11.61,12.61,12.62,11.88,11.05,9.278,8.858,8.452,Pismis 20:,Cir OB1:,,2.23,RC20
142,67-1,R11a,,,WR67a,,15 16 36.95,-58 09 58.8,321.1257,-0.5182,WN6h,R11a,,,,,,,,16.25,14.75,13.45,9.86,9.18,8.82,,,,3.36,RC20
143,67-2,R11a,,,WR67b,,15 17 46.29,-57 56 59.3,321.3699,-0.4152,WC8; WC7,R11a; RC15,,,,,,,,19.35,17.25,15.41,10.34,9.26,8.46,,,,2.17,"RC20 (e,a flags)"
144,68,VII,,,BS 4,,15 18 20.75,-59 38 17.4,320.5355,-1.8849,WC7,VI,,,,15.06,14.09,,14.83,14.33,13.71,12.53,9.898,9.385,8.749,,(Cir OB1),,4.93,RC20
145,68-1,SM09,,,SMG09 979_11,,15 20 35.91,-57 27 12.0,321.9546,-0.1976,WN4b,SMG09,,,,,,,,,,20.74,13.88,12.15,11.06,,,,1.88,"RC20 (n,a flags)"
146,68a,VII,,,SMSNPL 13,,15 23 16.60,-57 44 19.9,322.1007,-0.6323,WN6o+O5.5-6; WN6o,SMS99; CGB15; RC17,SB2 (P=5.22d),CGB15,,15.87,14.41,,,,,12.69,9.588,9.02,8.617,,,,3.97,RC20
147,69,VII,HD 136488,HIP 75377,,,15 24 11.30,-62 40 37.6,319.4777,-4.8201,WC9d+OB,WH00,SB2,"MMH98,NG99a,WH00",,9.57,9.43,,9.1,9.55,9.24,9.01,7.955,7.278,6.403,,,,3.48,RC20
148,70,VII,HD 137603,HIP 75863,,,15 29 44.68,-58 34 51.3,322.3396,-1.8068,WC9vd+B0I,"Ni95, Wil19",SB2 (P=2.8yr?),"Go87,SM89,Ni95,Wi97,NG99a,Wi02; Wil19",11.79,11.06,10.1,9.48,11.11,11.02,9.78,9.2,7.067,6.557,5.744,,,,3.01,RC20
149,70-1,MV09,,,WM10 9,MV09 J15352652-5604123,15 35 26.52,-56 04 12.4,324.4138,-0.1963,WN7,MV09,,,,,,,,,,19.93,13.84,12.39,11.457,,,,1.93,"RC20 (e,a flags)"
150,70-3,SM09,,,SMG09 1011_24,,15 43 04.66,-55 11 12.8,325.8054,-0.1277,WC8; WC7,SMG09; RC15,,,,,,,,19.93,17.31,15.34,10.96,9.94,9.06,,,,2.36,RC20
151,70-4,WM10,,,WM10 10,,15 45 59.14,-53 32 32.50,327.14,0.92,WN9h,WM10,,,,,,,,,,,14.576,12.217,10.874,,,,,
152,70-5,WM10,,,WM10 11b,,15 48 42.10,-55 07 54.3,326.4734,-0.5773,WC9,WM10,,,,,,,,,,16.44,11.185,9.708,8.49,,,,1.95,RC20
153,70a,VII,,,SMSNPL 14,,15 59 25.28,-54 12 42.8,328.254,-0.8543,WN6o,SMS99,,,,18.13,16.9,,,,,14.42,,,,,,,3.99,RC20
154,70-2,MV09,,,,MV09 J15595671-5159299,15 59 56.71,-51 59 30.0,329.7603,0.7787,WN5-6b; WN5b,MV10; RC15,,,,,,,,,,16.76,10.875,9.523,8.659,,,,3.66,"RC20 (n,e,a flags)"
155,71,VII,HD 143414,HIP 78689,,,16 03 49.33,-62 41 36.1,323.0814,-7.6132,WN6o,SSM96,"d.e.l., SB2?","LM87,CM89,SS96,MMH98,VII",10.01,10.18,10.23,10.22,9.34,10.05,10.11,9.89,9.48,9.306,9.088,,,,3.19,RC20
156,72-1,HD07,,,HDM6,,16 11 39.26,-52 05 45.9,331.0313,-0.5007,WC9,HD07,,,,,,,,18.3,,14.26,10.161,9.251,8.464,,,G331.134-0.484,3,RC20
157,72-2,SM09,,,SMG09 1053_27,,16 11 43.70,-51 10 16.7,331.6707,0.1674,WC8,SMG09,,,,,,,,,,16.2,10.26,8.97,8.1,,,,2.79,"RC20 (n,a flags)"
158,73,VII,,,NS 3,,16 12 37.47,-46 37 36.9,334.8886,3.3816,WC9d,HH88,,,,16.43,15.2,14.81,,,,13.58,10.318,8.793,7.468,,,,6.81,RC20 (e flag)
159,73-1,SM09,,,SMG09 1059_34,,16 14 37.23 ,-51 26 26.30 ,331.81,-0.34,WC8; WC7,SMG09; RC15,,,,,,,,,,,15.05,12.79,11.57,,,,,
160,74,VII,,,BP 1,,16 16 13.79,-51 36 41.8,331.8773,-0.6352,WN7o,SSM96,,,,15.56,13.98,13.02,,,,12.6,9.727,9.224,8.798,,(Nor OB4),,3.98,RC20
161,75,VII,HD 147419,,TYC 8324 3694,,16 24 26.22,-51 32 06.1,332.8376,-1.478,WN6b,SSM96,,,12.11,11.94,11.23,10.77,,11.46,10.85,10.43,8.601,8.244,7.837,,(Nor OB4),,3.32,RC20
162,75-1,SM09,,,SMG09 1081_21,,16 24 58.87,-48 56 52.5,334.7454,0.2718,WC8,SMG09,,,,,,,,18.5,,19.31,13.28,11.76,10.73,,,,2.17,"RC20 (n,e,a flags)"
163,75a,VII,,,SMSNPL 15,,16 26 37.23,-50 19 23.0,333.9456,-0.8779,WC9,SM99,,,,16.04,14.51,,,17.1,,13.62,9.963,9.183,8.5,,,,3.14,RC20
164,75aa,VIIA,,,HBD 1,SHS J162620.2-455946,16 26 20.14,-45 59 45.8,337.0196,2.1682,WC9d; WC9vd,HBD05; RC17; W19,,,,,,,,17.5,,15.25,12.027,10.732,9.459,,,,4.88,RC20
165,75b,VII,,,SMSNPL 16,,16 28 17.23,-48 17 40.8,335.5947,0.334,WC9,SM99,,,,17.8,16.09,,,,,13.56,,,,,,,1.69,RC20
166,75-2,SM09,,,SMG09 1093_34,,16 31 29.23 ,-47 56 16.40 ,336.22,0.19,WC8,SMG09,,,,,,,,,,,15.56,12.86,11.32,,,,,
167,75-3,SM09,,,SMG09 1093_33,,16 31 49.06 ,-47 56 04.40 ,336.26,0.15,WC8,SMG09,,,,,,,,,,,15.11,12.86,11.47,,,,,
168,75-4,SM09,,,SMG09 1093_53,WM10 16,16 32 12.98 ,-47 50 35.80 ,336.37,0.17,WN5b,SMG09,,,,,,,,,,,15,12.7,11.34,,,,,
169,75ab,VIIA,,,PCG 1,,16 33 48.73,-49 28 44.1,335.3548,-1.139,WN7h,CPG05,,,,,,,,,,13.56,10.218,9.29,8.91,,,,3.79,RC20
170,75c,VIIA,,,HBD 2,SHS J163403.6-434025,16 34 03.58,-43 40 24.9,339.6505,2.7676,WC9,HBD05; RC17,,,,,,,,16.5,,14.2,11.625,11.123,10.522,,,,7.15,RC20 (e flag)
171,75d,VIIA,,,HBD 3,SHS J163417.5-460852,16 34 17.44,-46 08 53.1,337.8571,1.061,WC9; WC9vd,HBD05; W19,,,,,,,,17.1,,14.26,10.977,9.883,9.118,,,,3.57,RC20
172,75-5,SM09,,,SMG09 1096_22,SFZ12 1095-98L,16 35 23.21,-48 09 16.2,336.51,-0.43,WC8,"SMG09, SFZ12",,,,,,,,,,,14.9,12.77,11.43,,,,,
173,76,VII,,,LSS 3693,,16 40 05.25,-45 41 12.7,338.8755,0.6226,WC9d,HH88,,,,16.58,15.46,,,,,13.06,8.46,6.51,4.88,,,G338.8+0.6/RM10 SFC40?,3.65,RC20 (e flag)
174,77,VII,,,He3-1239,,16 41 19.25,-48 01 59.2,337.2575,-1.0896,WC8+OB,CV90,"a, d.e.l.","CM89,CV90,SS90,VII",14.95,13.61,13,12.63,14.13,13.56,12.67,12.36,,,,,(Ara OB1b),,2.85,RC20
175,77-1,MV09,,,,MV09 J16441069-4524246,16 44 10.68,-45 24 24.6,339.5581,0.2686,WN7; WN7b,MV10; RC15,,,,,,,,19.1,,14.79,10.062,9.002,8.291,,,,2.71,RC20 (e flag)
176,77aa,VIIA,,,NC-T,HBD 4,16 46 46.28,-45 47 58.3,339.5555,-0.3314,WC9d,"HBD05, CH06",,,,,,,,,,14.98,10.04,8.214,6.725,Westerlund 1,,,2.53,RC20
177,77-2,MV09,,,,MV09 J16465342-4535590,16 46 53.42,-45 35 59.0,339.7212,-0.2178,WN7,MV10,,,,,,,,,,16.11,10.751,9.525,8.729,,,,2.66,RC20 (e flag)
178,77a,VIIA,,,NC-Q,,16 46 55.53,-45 51 34.5,339.5268,-0.3905,WN6o,CH06,,,,,,,,,,16.82,11.72,10.67,10,Westerlund 1,,,2.72,RC20 (e flag)
179,77b,VIIA,,,NC-N,,16 46 59.91,-45 55 25.7,339.4865,-0.442,WC9d,CH06,,,,,,,,,,15.23,9.691,7.842,6.407,Westerlund 1,,,3,"RC20 (n,e,a flags)"
180,77c,VIIA,,,NC-I,,16 47 00.88,-45 51 20.6,339.5402,-0.4001,WN8o,CH06,,,,,,,,,,16.32,10.89,9.57,8.86,Westerlund 1,,,2.94,RC20 (e flag)
181,77d,VIIA,,,NC-P,Wd1-57c,16 47 01.59,-45 51 45.3,339.5363,-0.4061,WN7o,CH06,,,,,,,,,,16.23,11.06,9.83,9.26,Westerlund 1,,,2.67,RC20 (e flag)
182,77e,VIIA,,,NC-J,,16 47 02.47 ,-45 51 00.10,339.547,-0.4,WN5h,CH06,,,,,,,,,,,11.7,10.3,9.7,Westerlund 1,,,5,CH06
183,77f,VIIA,,,NC-S,Wd1-5,16 47 02.97,-45 50 19.8,339.557,-0.3938,WN10-11h,CH06,,,,,,,,21.552,17.792,14.46,9.81,8.8,8.29,Westerlund 1,,,2.38,RC20
184,77g,VIIA,,,NC-K,,16 47 03.25,-45 50 43.80 ,339.552,-0.399,WC8,CH06,,,,,,,,,,,11.81,10.4,9.53,Westerlund 1,,,5,CH06
185,77h,VIIA,,,NC-V,,16 47 03.80,-45 50 38.8,339.5545,-0.399,WN8o,CH06,,,,,,,,,,15.8,10.75,9.42,8.76,Westerlund 1,,,1.72,RC20
186,77i,VIIA,,,NC-M,Wd1-66,16 47 03.96,-45 51 37.7,339.5423,-0.41,WC9d,CH06,,,,,,,,,,15.98,10.13,7.64,6.9,Westerlund 1,,,2.28,RC20
187,77j,VIIA,,,NC-G,,16 47 04.01,-45 51 25.1,339.5451,-0.4078,WN7o,CH06,,,,,,,,,20.87,16.75,11.36,9.97,9.28,Westerlund 1,,,3.21,"RC20 (n,a flags)"
188,77k,VIIA,,,NC-L,Wd1-44,16 47 04.19,-45 51 07.40,339.549,-0.405,WN9h,CH06,,,,,,,,22.6,18.86,15.61,9.08,7.72,7.19,Westerlund 1,,,5,CH06
189,77l,VIIA,,,NC-H,,16 47 04.22,-45 51 20.20,339.546,-0.407,WC9d,CH06,,,,,,,,,,15.537,10.31,8.56,7.38,Westerlund 1,,,5,CH06
190,77m,VIIA,,,NC-C,,16 47 04.41,-45 51 03.7,339.5504,-0.4048,WC9d,NC05,,,,,,,,,,16.8,11.26,9.51,8.23,Westerlund 1,,,2.62,"RC20 (n,e,a flags)"
191,77n,VIIA,,,NC-F,Wd1-241,16 47 05.21,-45 52 25.0,339.5346,-0.4212,WC9d,CH06,,,,,,,,21.7,17.86,14.83,9.85,7.97,7.28,Westerlund 1,,,2.72,RC20 (e flag)
192,77o,VIIA,,,NC-B,Wd1-14c,16 47 05.37,-45 51 04.9,339.5519,-0.4072,WN7o,CH06,,,,,,,,,20.99,16.48,10.91,9.79,9.18,Westerlund 1,,,3.15,"RC20 (n,e flags)"
193,77p,VIIA,,,NC-E,,16 47 06.06,-45 52 08.3,339.5398,-0.4201,WC9,CH06,,,,,,,,,18.379,15.01,10.12,9.09,8.29,Westerlund 1,,,0.3,RC20 (a flag)
194,77q,VIIA,,,NC-R,,16 47 06.10,-45 50 22.5,339.5619,-0.401,WN5o,CH06,,,,,,,,,,16.94,10.91,9.79,9.18,Westerlund 1,,,2.25,RC20 (e flag)
195,77r,VIIA,,,NC-D,,16 47 06.25,-45 51 26.5,339.549,-0.4131,WN7o,CH06,,,,,,,,,,17.53,11.92,10.84,10.26,Westerlund 1,,,3.06,"RC20 (n,a flags)"
196,77s,VIIA,,,NC-U,GDTB 1,16 47 06.54,-45 50 39.1,339.5616,-0.4103,WN6o,CH06,,,,,,,,,19.69,16.26,,,,Westerlund 1,,,1.93,RC20
197,77sa,VIIA,,,NC-W,GDTB 3,16 47 07.62,-45 49 22.1,339.5779,-0.3937,WN6h,CH06,,,,,,,,,,18.15,12.233,10.422,10.167,Westerlund 1,,,2.54,"RC20 (e, a flags)"
198,77sb,VIIA,,,NC-O,,16 47 07.66,-45 52 36.0,339.5369,-0.4286,WN6o,CH06,,,,,,,,,,16.07,11.63,8.814,8.332,Westerlund 1,,,2.52,RC20 
199,77sc,VIIA,,,NC-A,Wd1-72,16 47 08.35,-45 50 45.5,339.5616,-0.4103,WN7b,CH06,,,,,,,,,19.69,15.84,,,,Westerlund 1,,,2.68,RC20 (e flag)
200,77sd,VIIA,,,NC-X,GDTB 2,16 47 14.14,-45 48 32.0,339.6008,-0.3991,WN5o,CH06,,,,,,,,,,18.11,12.362,11.079,9.99,Westerlund 1,,,1.72,RC20 (a flag)
201,77t,VIIA,,,HBD 5,SHS J165057.6-434028,16 50 57.63,-43 40 27.8,341.6612,0.4658,WC9d; WC9vd,"HBD05, CH06; Wil19",Var dust (P=1.26yr),Wil,,,,,,,,15.27,10.647,9.414,8.318,,,,2.68,RC20 
202,78,VII,HD 151932,HIP 82543,HR 6249,,16 52 19.25,-41 51 16.3,343.2239,1.4317,WN7h,SSM96,eclipse?,"BE89,MMH98,NG99a",,6.82,6.61,,6.12,6.76,6.48,6.28,5.441,5.269,4.978,(NGC 6231),Sco OB1:,,1.25,RC20
203,79,VII,HD 152270,HIP 82706,HR 6265,,16 54 19.70,-41 49 11.6,343.4873,1.1639,WC7+O5-8,VI,"SB2, VB (P=8.89d)","SD87,SM89,LM96,MMH98,HaM99,NG99a; HMS00",,6.96,6.95,,6.32,6.83,6.6,6.54,5.963,5.81,5.389,NGC 6231:,Sco OB1,,1.37,RC20
204,79a,VII,HD 152408,HIP 82775,HR 6272,,16 54 58.50,-41 09 03.1,344.0836,1.4909,WN9ha; O8Iafpe,BoC99; Wal72,VB,"MG98,MMH98",,5.44,5.29,,5.18,5.98,5.81,5.67,5.148,5.09,4.904,NGC 6231:.,Sco OB1,,2.02,RC20
205,79b,VII,HD 152386,,TYC 7880 313 1,,16 55 06.45,-44 59 21.4,341.1133,-0.9408,WN9ha; O6:Iafpe,BoC99; SMM14,VB,MG98,,8.87,8.32,,8.16,8.66,8.14,7.92,6.764,6.617,6.475,,,,5.32,RC20 (n flag)
206,80,VII,,,LS 3871,WRAY 15-1581,16 59 02.19,-45 43 10.1,340.973,-1.9357,WC9d,VI,,,,16.23,14.63,14.05,,,,13.27,,,,,,,3.5,RC20
207,81,VII,,,He3-1316,WRAY 15-1597,17 02 40.38,-45 59 15.5,341.1506,-2.6001,WC9,WH00,,,14.82,13.81,12.71,12.04,,,,11.07,8.294,7.756,7.116,,,,2.11,RC20
208,82,VII,,,He3-1318,LS 11,17 04 04.63,-45 12 15.1,341.9225,-2.3184,WN7(h),SSM96,,AB95,13.63,13.26,12.41,11.83,12.95,12.97,12.21,11.59,9.475,9.043,8.692,,,,3.74,RC20
209,83,VII,,,He3-1344,WRAY 15-1630,17 10 54.63,-46 36 00.6,341.5145,-4.106,WN5o,SSM96,,,13.86,13.59,12.8,12.43,,,,12.07,10.264,9.889,9.528,,,,3.8,RC20
210,84,VII,,,LSWR 12,WRAY 15-1634,17 11 21.70,-39 53 22.0,346.9824,-0.2077,WN7o,SSM96,,,15.28,14.66,13.6,12.78,,,,12.13,,,,,,,3.01,RC20
211,85,VII,HD 155603B,,LSS 3982,TYC 7874 1219,17 14 27.12,-39 45 47.1,347.4334,-0.6135,WN6h,SSM96,"d.e.l., VB","HH88,CM89,Hip97,VII",11.37,11.17,10.6,10.21,10.64,10.96,10.4,10.03,8.2,7.943,7.475,,,,1.99,DR20
212,86,VII,HD 156327,HIP 84655,,,17 18 23.06,-34 24 30.60,352.25,1.85,WC7 (+B0III-I),NS98,"SB1?, VB","JB63,HH88,ML88,CM89,SS90,GV91,NS98,NG99a,VII",10.47,10.06,9.63,9.36,9.83,10.1,9.29,,7.436,7.136,6.666,,,,,
213,87,VII,,,He3-1370,LSS 4064,17 18 52.87,-38 50 03.6,348.6869,-0.7737,WN7h+abs,SSM96,"a, d.e.l.","CM89,VII",15.12,14.08,12.5,11.44,13.93,13.55,11.96,10.88,7.981,7.452,7.085,HM 1,(Anon. Sco OB),,2.91,RC20
214,88,VII,,,THA 10-13,WRAY 15-1668,17 18 49.73,-33 57 41.4,352.6698,2.0345,WC9,WH00,,,15.02,14.25,13.25,12.44,,,,11.75,9.033,8.564,8.052,,(Anon. Sco OB),,3.44,RC20
215,89,VII,,HIP 84716,He3-1371,LSS 4065,17 19 00.52,-38 48 51.3,348.7176,-0.7825,WN8h+abs,SSM96,"a, d.e.l., VB","CM89,Hip97,VII",13.62,12.72,11.5,10.54,13.01,12.5,11.03,10.11,7.385,6.963,6.578,HM 1,Anon. Sco OB,,2.9,RC20
216,90,VII,HD 156385,HIP 84757,He3-1373,,17 19 29.90,-45 38 23.9,343.1641,-4.7627,WC7,VI,,NG99a,,7.33,7.45,7.48,6.54,7.17,6.96,6.75,6.251,6.09,5.52,,,,1.15,RC20
217,91,VII,,,StSa 1,,17 20 22.02,-38 56 48.4,348.7604,-1.0751,WN7b,SSM96,,,,17.26,15.76,14.3,,,,13.24,9.532,8.765,8.199,,,RCW 121,4.04,RC20
218,91-1,SM09,,,SMG09 1222_15,,17 22 40.74 ,-35 04 52.90 ,352.2,0.74,WC8; WC7; WC7ed,SMG09; RC15; W19,,,,,,,,,,,15.11,12.05,10.33,,,,,
219,92,VII,HD 157451,,He3-1399,TYC 7895 1089,17 25 23.28,-43 29 31.5,345.5373,-4.42,WC9,WH00,,,10.71,10.5,10.43,10.5,10,10.62,10.33,10.12,9.503,9.222,8.822,,,,3.78,RC20
220,93,VII,HD 157504,,THA 10-19,,17 25 08.85,-34 11 12.6,353.2272,0.8293,WC7+O7-9,HH88,SB2?,"LS84,LT84,CM89,SS90,VII",13.48,12.58,11.46,10.55,12.8,12.1,10.68,9.84,7.036,6.533,5.865,(Pismis 24),,,1.76,RC20
221,93a,VII,,,TH3-28,PK 359+03 1,17 30 56.80,-26 59 11.0,359.9185,3.7803,WN2.5-3; WN6; WN6h,AS90; Mis13; RC17,,,,13.9,13.9,,,18.7,,17.58,13.883,13.221,12.717,,,,4.41,RC20 (e flag)
222,93b,VIIA,,,DBU 1,,17 32 03.31,-35 04 32.7,353.2744,-0.846,WO3,DBU04,,,,,,,,16.9,,14.58,11.331,10.555,10.17,,,,2.29,RC20
223,94,VII,HD 158860,,He3-1420,,17 33 07.07,-33 38 23.4,354.5973,-0.246,WN5o,SSM96,,,,13.01,12.27,,,,,9.87,7.091,6.188,5.913,,,,0.95,RC20
224,95,VII,,,He3-1434,WRAY 16-292,17 36 19.89,-33 26 12.3,355.1307,-0.6989,WC9d,VI,,,16.62,15.29,14,13.35,16.01,15.15,13.38,11.98,8.29,6.67,5.27,Trumpler 27,,,2.07,RC20
225,96,VII,,,He3-1435,WRAY 15-1736,17 36 24.45,-32 54 31.5,355.5843,-0.4281,WC9d,HH88,,,,15.15,14.14,,,,,12.47,,,,,,,2.64,RC20
226,97,VII,HDE 320102,HIP 86197,He3-1439,,17 36 53.62,-34 02 36.8,354.6819,-1.1238,WN5b+O7,SSM96,SB2 (P=12.6d),"SM89,NC95,NR96,LM96,MMH98",12.3,11.82,11.14,10.62,11.51,11.73,10.85,10.39,8.502,8.215,8.009,,,,2.15,RC20
